channel,method,snr_bin_low,snr_bin_high,snr_bin_center,n_traces,median_delta_A,q16_delta_A,q84_delta_A,sigma68_delta_A,mean_delta_A,std_delta_A,median_abs_delta_A
X,denoised,2.0,3.0,2.5,3809,-0.9610196352005005,-0.9945811629295349,-0.056423883438110445,0.46907863974571223,-0.6277629137039185,0.4778278172016144,0.9634531736373901
X,denoised,3.0,4.0,3.5,2628,-0.3395610451698303,-0.9953624987602234,0.027631683349609273,0.5114970910549164,-0.42672812938690186,0.44486087560653687,0.37171661853790283
X,denoised,4.0,5.0,4.5,1877,-0.19400489330291748,-0.5757712650299073,0.03155541419982903,0.30366333961486813,-0.25780272483825684,0.3412361443042755,0.22317910194396973
X,denoised,5.0,6.0,5.5,1440,-0.1586070954799652,-0.3451266407966614,0.03633299350738525,0.1907298171520233,-0.16671274602413177,0.2314821481704712,0.18036150932312012
X,denoised,6.0,7.0,6.5,1200,-0.1505257785320282,-0.2978649020195007,0.00638108730316162,0.15212299466133117,-0.13172318041324615,0.4792625606060028,0.17037802934646606
X,denoised,7.0,8.0,7.5,959,-0.14811140298843384,-0.2640843367576599,0.003618302345275848,0.13385131955146787,-0.1286441683769226,0.1609967052936554,0.1616106629371643
X,denoised,8.0,9.0,8.5,861,-0.1339067816734314,-0.24492157697677613,-0.0007294416427612721,0.12209606766700742,-0.11906376481056213,0.14246247708797455,0.14484798908233643
X,denoised,9.0,10.0,9.5,714,-0.1223091185092926,-0.2348998761177063,-0.011397767066955618,0.11175105452537534,-0.09547463059425354,0.6063264608383179,0.13393810391426086
Y,noisy,1.0,2.0,1.5,7393,1.6583926677703857,1.083269052505493,2.3319201469421387,0.6243255472183228,1.706540822982788,0.5840707421302795,1.6583926677703857
Y,noisy,2.0,3.0,2.5,3600,0.563570499420166,0.33771379470825197,0.8085241508483887,0.23540517807006836,0.5793472528457642,0.23806604743003845,0.563570499420166
Y,noisy,3.0,4.0,3.5,2336,0.18802189826965332,0.0265875816345215,0.40215532779693597,0.18778387308120723,0.21112574636936188,0.1900760680437088,0.18882179260253906
Y,noisy,4.0,5.0,4.5,1805,0.07412052154541016,-0.10411985158920288,0.2736154937744141,0.18886767268180849,0.08375673741102219,0.1862310767173767,0.1293962597846985
Y,noisy,5.0,6.0,5.5,1335,0.03962576389312744,-0.14277308464050292,0.2166170024871826,0.17969504356384275,0.04024024307727814,0.17264646291732788,0.12304133176803589
Y,noisy,6.0,7.0,6.5,1080,0.02123337984085083,-0.11708062648773193,0.17389268875122071,0.14548665761947632,0.028139693662524223,0.149807408452034,0.10143691301345825
Y,noisy,7.0,8.0,7.5,1017,0.02024221420288086,-0.11637362480163574,0.1523243236541748,0.13434897422790526,0.019396353513002396,0.13109606504440308,0.09387975931167603
Y,noisy,8.0,9.0,8.5,746,0.004290580749511719,-0.10515834093093872,0.12916920185089112,0.11716377139091491,0.00982618797570467,0.1175495982170105,0.07961848378181458
Y,noisy,9.0,10.0,9.5,697,0.011097908020019531,-0.08888954877853393,0.1122750186920166,0.10058228373527527,0.008964489214122295,0.10433368384838104,0.06901228427886963
Y,denoised,1.0,2.0,1.5,7393,-0.9689415693283081,-0.9807646751403809,-0.058298976421356584,0.46123284935951214,-0.6390705704689026,0.6323890089988708,0.970578134059906
Y,denoised,2.0,3.0,2.5,3600,-0.9108489751815796,-0.9876673579216003,0.12493055820465057,0.5562989580631255,-0.5258992314338684,0.5816459655761719,0.9365670680999756
Y,denoised,3.0,4.0,3.5,2336,-0.2752144932746887,-0.989594042301178,0.18836750984191883,0.5889807760715484,-0.3366210162639618,0.5324024558067322,0.38874131441116333
Y,denoised,4.0,5.0,4.5,1805,-0.15341168642044067,-0.8097276329994202,0.13175782680511464,0.4707427299022674,-0.2275119125843048,0.42739900946617126,0.22370105981826782
Y,denoised,5.0,6.0,5.5,1335,-0.11476927995681763,-0.3652477526664734,0.1097335577011108,0.23749065518379212,-0.1321565806865692,0.3331219255924225,0.1741189956665039
Y,denoised,6.0,7.0,6.5,1080,-0.08618995547294617,-0.2562830662727356,0.11954529762268067,0.18791418194770815,-0.07019609212875366,0.24248625338077545,0.14482253789901733
Y,denoised,7.0,8.0,7.5,1017,-0.07227104902267456,-0.23134573698043823,0.11429839611053462,0.17282206654548643,-0.05036463588476181,0.2246338427066803,0.13230109214782715
Y,denoised,8.0,9.0,8.5,746,-0.06261000037193298,-0.2098349690437317,0.12875659465789793,0.1692957818508148,-0.038080163300037384,0.19026587903499603,0.12919476628303528
Y,denoised,9.0,10.0,9.5,697,-0.06935948133468628,-0.20086063385009767,0.07417836666107176,0.1375195002555847,-0.049119386821985245,0.16977709531784058,0.11303335428237915
Z,noisy,1.0,2.0,1.5,6424,1.6965901851654053,1.1094242095947267,2.382877893447876,0.6367268419265746,1.7465691566467285,0.5872184038162231,1.6965901851654053
Z,noisy,2.0,3.0,2.5,3362,0.5740283727645874,0.36137110233306885,0.8257102251052856,0.23216956138610836,0.5952526926994324,0.23130691051483154,0.5740283727645874
Z,noisy,3.0,4.0,3.5,2032,0.1952304244041443,0.03638213634490965,0.40027987003326415,0.18194886684417724,0.22158491611480713,0.19409504532814026,0.19544565677642822
Z,noisy,4.0,5.0,4.5,1460,0.06976324319839478,-0.10676994323730468,0.27865292549133297,0.1927114343643188,0.08799804002046585,0.18843208253383636,0.1311967670917511
