channel,method,snr_bin_low,snr_bin_high,snr_bin_center,n_traces,median_delta_A,q16_delta_A,q84_delta_A,sigma68_delta_A,mean_delta_A,std_delta_A,median_abs_delta_A
X,denoised,3.0,4.0,3.5,2847,0.01331949234008789,-0.40544278383255006,0.2916277980804442,0.34853529095649716,-0.03415149450302124,0.37222418189048767,0.21706175804138184
X,denoised,4.0,5.0,4.5,2126,0.05043232440948486,-0.20846867561340332,0.2750511169433594,0.24175989627838135,0.04409920424222946,0.5177862048149109,0.1619345247745514
X,denoised,5.0,6.0,5.5,1708,0.0519484281539917,-0.15137311220169067,0.250448203086853,0.20091065764427185,0.05356399714946747,0.22633033990859985,0.13413196802139282
X,denoised,6.0,7.0,6.5,1551,0.05392622947692871,-0.09807366132736206,0.22227692604064941,0.16017529368400574,0.07324434071779251,0.3723115026950836,0.11013329029083252
X,denoised,7.0,8.0,7.5,1487,0.06927335262298584,-0.06670519828796387,0.19937057495117189,0.1330378866195679,0.09104231745004654,0.5682817697525024,0.10165262222290039
X,denoised,8.0,9.0,8.5,1198,0.06005990505218506,-0.08249651432037354,0.19382536888122562,0.13816094160079959,0.06906600296497345,0.23283074796199799,0.09965246915817261
X,denoised,9.0,10.0,9.5,821,0.04065680503845215,-0.12463054656982422,0.18274500370025634,0.15368777513504028,0.036063261330127716,0.16615928709506989,0.10449832677841187
Y,noisy,1.0,2.0,1.5,7059,1.012686014175415,0.47770522117614744,1.7350597286224365,0.6286772537231445,1.0851740837097168,0.604447603225708,1.012686014175415
Y,noisy,2.0,3.0,2.5,3617,0.27458655834198,0.034253182411193864,0.5522285556793213,0.2589876866340637,0.293995201587677,0.2580905258655548,0.2781338095664978
Y,noisy,3.0,4.0,3.5,2575,0.07530331611633301,-0.09139916658401488,0.2732307624816894,0.18231496453285215,0.09028889238834381,0.18460862338542938,0.1232072114944458
Y,noisy,4.0,5.0,4.5,2125,0.03565967082977295,-0.11022591829299926,0.18196356296539296,0.1460947406291961,0.037318307906389236,0.15367646515369415,0.0989532470703125
Y,noisy,5.0,6.0,5.5,1654,0.016973674297332764,-0.09517505407333374,0.13013171195983886,0.1126533830165863,0.018094681203365326,0.12384127080440521,0.07529950141906738
Y,noisy,6.0,7.0,6.5,1504,0.013411283493041992,-0.06930939674377441,0.10143774032592773,0.08537356853485106,0.015170258469879627,0.09706181287765503,0.056143105030059814
Y,noisy,7.0,8.0,7.5,1517,0.006209135055541992,-0.05326974391937256,0.05728933811187744,0.055279541015625,0.00470863189548254,0.07020349055528641,0.03457921743392944
Y,noisy,8.0,9.0,8.5,1422,-0.0021075308322906494,-0.047847735881805416,0.043882203102111814,0.04586496949195862,-0.002012094249948859,0.05571212247014046,0.027558743953704834
Y,noisy,9.0,10.0,9.5,835,-0.000691533088684082,-0.05182459592819214,0.048402533531188965,0.05011356472969056,-0.002519203582778573,0.05636138841509819,0.029356420040130615
Y,denoised,1.0,2.0,1.5,7059,-0.5021364092826843,-0.8614662456512451,0.47738368511199947,0.6694249653816222,-0.2432544231414795,0.7235977053642273,0.671435534954071
Y,denoised,2.0,3.0,2.5,3617,-0.11561965942382812,-0.8229127502441406,0.4683257055282593,0.6456192278862,-0.11635415256023407,0.6105667948722839,0.4731416702270508
Y,denoised,3.0,4.0,3.5,2575,0.09691381454467773,-0.4132604694366455,0.47636106967926023,0.44481076955795285,0.06367751955986023,0.4836997985839844,0.2877652645111084
Y,denoised,4.0,5.0,4.5,2125,0.15943682193756104,-0.12541550397872925,0.48010176181793196,0.3027586328983306,0.15965105593204498,0.36909061670303345,0.22693240642547607
Y,denoised,5.0,6.0,5.5,1654,0.16535013914108276,-0.05462059259414673,0.45484261512756347,0.2547316038608551,0.19974906742572784,0.39296191930770874,0.19808557629585266
Y,denoised,6.0,7.0,6.5,1504,0.168038010597229,0.000952410697937014,0.4423200130462646,0.2206838011741638,0.21053174138069153,0.2529132664203644,0.18548178672790527
Y,denoised,7.0,8.0,7.5,1517,0.16268861293792725,0.02736955165863037,0.39488193511962894,0.18375619173049929,0.19863414764404297,0.21697251498699188,0.16876697540283203
Y,denoised,8.0,9.0,8.5,1422,0.14132636785507202,0.016212716102600108,0.32061667442321773,0.1522019791603088,0.16560477018356323,0.18691325187683105,0.1490498185157776
Y,denoised,9.0,10.0,9.5,835,0.11906206607818604,-0.015422749519348144,0.2896962308883667,0.15255949020385742,0.1376773566007614,0.1803654432296753,0.1350470781326294
Z,noisy,1.0,2.0,1.5,6250,0.993567943572998,0.501099705696106,1.72184175491333,0.610371024608612,1.0921905040740967,0.600532591342926,0.993567943572998
Z,noisy,2.0,3.0,2.5,3187,0.2731972932815552,0.043452582359313964,0.5607804775238034,0.25866394758224476,0.3012206256389618,0.2590406835079193,0.2744361162185669
Z,noisy,3.0,4.0,3.5,2039,0.07547450065612793,-0.09348356008529664,0.27080930233001693,0.18214643120765678,0.08984623849391937,0.18721063435077667,0.12712031602859497
Z,noisy,4.0,5.0,4.5,1397,0.03607070446014404,-0.11270146369934082,0.18739335060119627,0.15004740715026854,0.03705838695168495,0.15530848503112793,0.10194575786590576
Z,noisy,5.0,6.0,5.5,1017,0.019857406616210938,-0.10447415590286255,0.1474992752075195,0.12598671555519103,0.019620349630713463,0.1336662620306015,0.0800963044166565
Z,noisy,6.0,7.0,6.5,837,0.0062143802642822266,-0.08881385803222656,0.09884443759918213,0.09382914781570434,0.004303812049329281,0.09973066300153732,0.06337356567382812
Z,noisy,7.0,8.0,7.5,613,0.0017521381378173828,-0.07182382106781006,0.08124746322631832,0.07653564214706418,0.002655163174495101,0.08316288143396378,0.04963994026184082
Z,noisy,8.0,9.0,8.5,481,0.005224943161010742,-0.06463383436203003,0.062243318557739256,0.06343857645988464,-0.00030199417960830033,0.06808865815401077,0.04082834720611572
