,psnr_avg,psnr_std,peak_ratio_avg,peak_ratio_std
DualBranch,26.727592603678684,8.518216707194703,0.3390478491783142,0.3285701274871826
TimeOnly,26.985283761602773,8.670003310980011,0.3581026792526245,0.3317280411720276
