epoch,train_loss,val_loss
1,1.5107739930457258,1.147496215502421
2,1.0311980653316417,1.02056133945783
3,0.9515313135816695,0.9436510284741719
4,0.8979318266219282,0.8971553881963094
5,0.8658639086053727,0.8766127308209737
6,0.840660005934695,0.84643408258756
7,0.8209728329739672,0.8439092099666595
8,0.8053623120835487,0.823628830909729
9,0.7898097725624734,0.7970722993214925
10,0.7749717007292077,0.7918854534626008
11,0.7648843881931711,0.7747424900531769
12,0.7531271214180805,0.7711361388365428
13,0.7445421360908671,0.7610791563987732
14,0.7366108257719811,0.7546945174535116
15,0.7303692713696905,0.7410798033078512
16,0.7235842220326687,0.743233980735143
17,0.718790855559897,0.7384065429369608
18,0.7112079868925378,0.7422211190064748
19,0.7077147707026056,0.7301375369230906
20,0.7027546692401805,0.7149832983811696
21,0.6988417151126456,0.7118746479352315
22,0.6959028112127426,0.7143329819043477
23,0.693264587128416,0.7213257849216461
24,0.6901148400408157,0.7011778295040131
25,0.6854845594852529,0.6959664980570476
26,0.682927309705856,0.6907375792662303
27,0.6792370613585127,0.6897263387839
28,0.6769449842737076,0.6978011012077332
29,0.6733368586986623,0.6980250279108683
30,0.6718162914539906,0.6844036479791006
31,0.6690561398546746,0.6897904435793559
32,0.6667666539232782,0.6787538925806681
33,0.6650194693118968,0.6854938844839732
34,0.6630953885139304,0.6778423349062602
35,0.6604156301376668,0.6723572651545207
36,0.6577549016222041,0.6946529944737753
37,0.6585276788853585,0.6715758701165517
38,0.6555928839013931,0.6744748234748841
39,0.6529497532134361,0.6653325776259105
40,0.6513216274849912,0.6613642235596975
41,0.6489426970481873,0.6668799300988515
42,0.6490383673221507,0.6582368314266205
43,0.646468658650175,0.6657015442848205
44,0.645400107921438,0.6589685241381328
45,0.6450406439760898,0.6607807437578838
46,0.6430604810410357,0.6604079345862071
47,0.6410161916245806,0.6524204691251119
48,0.6395357748295398,0.6530340174833934
49,0.6376749335451329,0.6494390308856964
50,0.6378708915507539,0.6561893741289775
51,0.6368946899759008,0.6594640374183655
52,0.6349018117214771,0.6452710251013438
53,0.6342847793660266,0.6481875697771708
54,0.6311989900913645,0.65564723610878
55,0.6325459870886295,0.6418253858884175
56,0.6307561012024575,0.6451425731182099
57,0.6303392816097179,0.6372488717238108
58,0.6273482855330123,0.6462598999341329
59,0.6276028179107829,0.6415077129999797
60,0.6264393220556543,0.6373305439949035
61,0.6253059440470756,0.6382032473882039
62,0.6269328751462571,0.6355380972226461
63,0.6232126712799072,0.6387314915657043
64,0.6232178923931527,0.640358171860377
65,0.6233430677271904,0.6393320222695669
66,0.6207460915788691,0.6340614298979441
67,0.6209468070496904,0.6417200624942779
68,0.6212246529599453,0.6307277103265126
69,0.6187820645088845,0.6305073499679565
70,0.6177278455267561,0.6340489625930786
71,0.6172623012928252,0.6336456914742787
72,0.6165788379121334,0.6278038005034129
73,0.6164961259415809,0.629371706644694
74,0.615253369098014,0.6277351796627044
75,0.6145313519112607,0.6326116323471069
76,0.6133820029015237,0.6250157197316487
77,0.6125643298981037,0.6251473128795624
78,0.6115744151967637,0.6248285452524821
79,0.6114401878194606,0.6256505231062571
80,0.6100355389270377,0.6232134163379669
81,0.6112977362693625,0.6220188200473785
82,0.6093284404024165,0.6286233345667521
83,0.6093287840802619,0.619186919927597
84,0.6093358245301754,0.6233326057593028
85,0.6083828233658,0.6209263404210409
86,0.6080264652028997,0.6275831421216329
87,0.6069021156493654,0.6207329213619233
88,0.607456637697017,0.6217888096968333
89,0.6070028221353572,0.6219768305619557
90,0.6019450956202568,0.6122400383154551
91,0.6009225543509138,0.6134500324726104
92,0.6001042216382129,0.6145793378353119
93,0.5998205882437686,0.61308633685112
94,0.6003433245293638,0.6164820412794749
95,0.6002859914556463,0.6118005494276683
96,0.6000030484605343,0.6157688061396281
97,0.5994795839837257,0.6161540706952413
98,0.5990690312487014,0.6132719973723094
99,0.5986565196767767,0.6120919267336528
100,0.5986904887442893,0.614110650618871
