epoch,train_loss,val_loss
1,1.699007037852673,1.365120244026184
2,1.2179891084102874,1.1294612685839336
3,1.06857112164193,1.023169994354248
4,1.0132230550684826,0.9912186880906423
5,0.9815377818777206,0.9635702629884084
6,0.9613459125478216,0.9483073393503825
7,0.9449296071174297,0.932770174741745
8,0.9323314291365603,0.9235434174537659
9,0.9228435749703265,0.9104601581891377
10,0.912939682159018,0.9019793371359507
11,0.9036359637341601,0.8949058870474498
12,0.8977654956756754,0.8902280847231547
13,0.8892213758001937,0.8880736231803894
14,0.8829173425410656,0.8742996752262115
15,0.8774854680325123,0.8759096503257752
16,0.8710036871281076,0.8642101049423218
17,0.862364609444395,0.861719399690628
18,0.858671110234362,0.8542911012967428
19,0.8516045925465036,0.8478852947552998
20,0.844209530759365,0.8406306405862173
21,0.8383028479332619,0.8339088479677836
22,0.8312802669849801,0.8259286304314931
23,0.8271369703272555,0.8186866323153178
24,0.8218689497481001,0.8156149486700693
25,0.8172602224857249,0.8151046653588613
26,0.8127707998803322,0.8077823321024576
27,0.8088400914313946,0.8036440273125967
28,0.8036945802100162,0.7974219898382823
29,0.8006604531978039,0.7949371218681336
30,0.7940117562070806,0.7915680587291718
31,0.7900831587771152,0.7854091544946035
32,0.7869422458587809,0.7803766091664632
33,0.7807237046830198,0.7797467589378357
34,0.7775832077290149,0.7726306637128194
35,0.7737520562841537,0.7675957520802815
36,0.7702464547563106,0.7633237302303314
37,0.7666833116653118,0.7654449860254924
38,0.764039937232403,0.7577340583006541
39,0.760501228494847,0.7558679382006327
40,0.7572969616727626,0.7538411100705464
41,0.7546356556263376,0.7510883371035258
42,0.753354905514007,0.7456142048041026
43,0.7477757375291053,0.7475888689359029
44,0.7459855285096676,0.7432960967222849
45,0.7428357844657086,0.7393929560979208
46,0.7409330388332935,0.7377281328042348
47,0.7377001151125482,0.7325296243031819
48,0.7358123135059438,0.7390719294548035
49,0.7350769507124069,0.7336878220240275
50,0.7308494484170954,0.7282538731892904
51,0.7287164738837709,0.7252266546090443
52,0.7263775318226916,0.7241591215133667
53,0.7240206703226617,0.7200837671756745
54,0.7269733122054567,0.7230352818965912
55,0.7215209479027606,0.7176069696744283
56,0.7191393169950931,0.718331491947174
57,0.7172667759530088,0.7154577732086181
58,0.7154912915635616,0.7118669549624125
59,0.7139581561088562,0.7117316921552023
60,0.712846388461742,0.7120829741160075
61,0.710519939026934,0.7082685828208923
62,0.7094588028623703,0.7073943773905437
63,0.7078630660442595,0.7080124497413636
64,0.7061803708685205,0.7111413399378459
65,0.7055003858627157,0.7030110975106557
66,0.7045469783722086,0.7016850074132284
67,0.7028057755307948,0.7006085634231567
68,0.7008556358357694,0.6976640065511067
69,0.699903353731683,0.6997816542784373
70,0.6979818098088528,0.6967087427775065
71,0.6972873888117201,0.695782329638799
72,0.6959098250307936,0.6924697279930114
73,0.6958442010778062,0.6936302860577901
74,0.6942110749001199,0.6893718560536702
75,0.692512136317314,0.6889139254887898
76,0.691342130366792,0.687913195292155
77,0.6906802669484564,0.6902973115444183
78,0.6894435271303705,0.6872061590353647
79,0.6883653445446745,0.6856602013111115
80,0.686656625473753,0.685704521338145
81,0.685617024594165,0.6938481986522674
82,0.6855556566664514,0.6849289337793986
83,0.6834133356175525,0.684499063094457
84,0.6828721355884633,0.6836982448895772
85,0.6822544105509494,0.6803470969200134
86,0.6809913741781356,0.680429748694102
87,0.6805924907643744,0.6776076336701711
88,0.6795664437273715,0.676158853371938
89,0.6772965801523086,0.6750869313875835
90,0.6769562424497402,0.6761444866657257
91,0.6759858126335956,0.6825103898843129
92,0.6764575849188135,0.672374012072881
93,0.6740982570546739,0.6728617211182912
94,0.6740574106257012,0.6720299224058787
95,0.6727969451153532,0.671848734219869
96,0.6723031396561481,0.6731782952944437
97,0.6711948110702189,0.6693500181039175
98,0.6707265095507845,0.6718646387259165
99,0.6699762151596395,0.6669501860936483
100,0.6691175633288444,0.6664551258087158
