,psnr_avg,psnr_std,peak_ratio_avg,peak_ratio_std
DualBranch,26.704587316981804,8.584784331116404,0.3356371521949768,0.3205006420612335
TimeOnly,26.227021742522105,7.768252593344646,0.367637574672699,0.3122611939907074
